潮汕频道,#genre#
汕头新闻综合,sttv://st1
汕头经济生活,sttv://st2
潮州综合,webview://https://liveshowapp.kanchaozhou.com/web/fslivemobile/index.html?id=1101&domain=https://app.kanchaozhou.com
潮州民生,webview://https://liveshowapp.kanchaozhou.com/web/fslivemobile/index.html?id=1102&domain=https://app.kanchaozhou.com
揭阳新闻综合,webview://https://www.jyrtv.tv/fccommon/Home/detail?site_id=75&detail_type=7&cid=11
揭阳生活,webview://https://www.jyrtv.tv/fccommon/Home/detail?site_id=75&detail_type=7&cid=12

广东频道,#genre#
广东卫视,http://124.228.160.112:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0#http://120.76.248.139/live/bfgd/4200000092.m3u8#http://61.136.172.236:9901/tsfile/live/0125_1.m3u8#http://112.123.243.37:50085/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0#webview://http://gdtv.cn/tvChannelDetail/43#webview://https://yangshipin.cn/tv/home?pid=600002485
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8#http://183.11.239.36:808/hls/132/index.m3u8#webview://http://gdtv.cn/tvChannelDetail/46
广东体育,http://php.jdshipin.com/PLTV/iptv.php?id=gdty#http://php.jdshipin.com/TVOD/iptv.php?id=gdty#http://r.jdshipin.com/LiYdg#https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8#webview://http://gdtv.cn/tvChannelDetail/47
广东民生,http://183.11.239.36:808/hls/18/index.m3u8#webview://http://gdtv.cn/tvChannelDetail/48
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8#https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487#https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488#https://tencentplaybusiness.gztv.com/live/zonghes.m3u8
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8

央视频道,#genre#
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8#https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv1_1_720P/playlist.m3u8?wsApp=HLS#https://ldncctvwbcdtxy.liveplay.myqcloud.com/ldncctvwbcd/cdrmldcctv1_1_td.m3u8#https://ldncctvwbcdks.v.kcdnvip.com/ldncctvwbcd/cdrmldcctv1_1/index.m3u8?BR=td&region=shanghai#https://ldncctvwbcdbd.a.bdydns.com/ldncctvwbcd/cdrmldcctv1_1/index.m3u8?BR=td#https://ldncctvwbcdbyte.volcfcdn.com/ldncctvwbcd/cdrmldcctv1_1/index.m3u8?BR=td#webview://https://yangshipin.cn/tv/home?pid=600001859#webview://https://tv.cctv.com/live/cctv1/
CCTV2,https://ldocctvwbcdcnc.v.wscdns.com/ldocctvwbcd/cdrmldcctv2_1_720P/playlist.m3u8?wsApp=HLS#https://ldocctvwbcdks.v.kcdnvip.com/ldocctvwbcd/cdrmldcctv2_1/index.m3u8?BR=td&region=shanghai#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_td.m3u8#https://ldocctvwbcdbyte.volcfcdn.com/ldocctvwbcd/cdrmldcctv2_1/index.m3u8?BR=td#https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv2_1/index.m3u8?BR=td#webview://https://yangshipin.cn/tv/home?pid=600001800#webview://https://tv.cctv.com/live/cctv2/
CCTV3,http://112.30.73.119:229/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0#http://221.226.51.220:50081/newlive/live/hls/3/live.m3u8#https://ldocctvwbcdcnc.v.wscdns.com/ldocctvwbcd/cdrmldcctv3_1_720P/playlist.m3u8?wsApp=HLS#https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?BR=td#https://ldocctvwbcdbyte.volcfcdn.com/ldocctvwbcd/cdrmldcctv3_1_720P/playlist.m3u8?wsApp=HLS#https://ldocctvwbcdks.v.kcdnvip.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?BR=td&region=shanghai#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1_td.m3u8#webview://https://tv.cctv.com/live/cctv3/#webview://https://yangshipin.cn/tv/home?pid=600001801
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8#https://ldocctvwbcdcnc.v.wscdns.com/ldocctvwbcd/cdrmldcctv4_1_720P/playlist.m3u8?wsApp=HLS#https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv4_1/index.m3u8?BR=td#https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv4_1_td.m3u8#https://ldocctvwbcdbyte.volcfcdn.com/ldocctvwbcd/cdrmldcctv4_1/index.m3u8?BR=td#https://ldocctvwbcdks.v.kcdnvip.com/ldocctvwbcd/cdrmldcctv4_1/index.m3u8?BR=td&region=shanghai#webview://https://yangshipin.cn/tv/home?pid=600001814#webview://https://tv.cctv.com/live/cctv4/
